Survival function data from https://www.ssa.gov/oact/NOTES/as120/images/LD_fig5.html
Graph of this data is at https://www.ssa.gov/oact/NOTES/as120/LifeTables_Body.html (figure 5 at bottom)
Age,1900,1950,2000,2050,2100
0.000,100.000,100.000,100.000,100.000,100.000
1.000,86.685,97.076,99.307,99.733,99.885
2.000,83.464,96.858,99.258,99.712,99.874
3.000,81.903,96.733,99.224,99.698,99.866
4.000,80.819,96.629,99.200,99.686,99.860
5.000,79.966,96.552,99.180,99.678,99.856
6.000,79.344,96.483,99.162,99.670,99.851
7.000,78.900,96.420,99.145,99.662,99.847
8.000,78.582,96.362,99.129,99.655,99.843
9.000,78.342,96.308,99.114,99.648,99.839
10.000,78.138,96.258,99.101,99.643,99.837
11.000,77.938,96.210,99.089,99.638,99.835
12.000,77.723,96.162,99.077,99.634,99.834
13.000,77.487,96.110,99.060,99.627,99.830
14.000,77.236,96.050,99.036,99.614,99.823
15.000,76.973,95.978,99.001,99.593,99.810
16.000,76.689,95.895,98.953,99.564,99.790
17.000,76.372,95.799,98.895,99.526,99.765
18.000,76.019,95.692,98.826,99.482,99.735
19.000,75.628,95.576,98.751,99.432,99.701
20.000,75.197,95.452,98.670,99.380,99.665
21.000,74.725,95.322,98.584,99.324,99.627
22.000,74.212,95.184,98.493,99.265,99.588
23.000,73.671,95.040,98.400,99.205,99.547
24.000,73.119,94.894,98.306,99.145,99.506
25.000,72.568,94.748,98.214,99.086,99.466
26.000,72.021,94.601,98.123,99.029,99.428
27.000,71.476,94.453,98.034,98.974,99.390
28.000,70.930,94.303,97.946,98.919,99.353
29.000,70.375,94.148,97.856,98.863,99.314
30.000,69.807,93.988,97.763,98.804,99.274
31.000,69.225,93.820,97.665,98.741,99.232
32.000,68.632,93.644,97.564,98.676,99.187
33.000,68.030,93.458,97.457,98.605,99.139
34.000,67.420,93.261,97.343,98.529,99.087
35.000,66.805,93.051,97.221,98.447,99.031
36.000,66.184,92.827,97.088,98.356,98.970
37.000,65.556,92.585,96.946,98.258,98.903
38.000,64.921,92.325,96.791,98.151,98.830
39.000,64.281,92.041,96.624,98.035,98.751
40.000,63.635,91.733,96.443,97.909,98.665
41.000,62.982,91.396,96.248,97.773,98.572
42.000,62.321,91.029,96.036,97.625,98.471
43.000,61.648,90.629,95.807,97.467,98.363
44.000,60.962,90.194,95.559,97.297,98.247
45.000,60.259,89.723,95.292,97.116,98.123
